Symbol,Atomic number (Z),Atomic Mass (u),RHS (Ang),EOLJ_He (meV),ROLJ_He (Ang),EOLJ_N2 (meV),ROLJ_N2 (Ang), EOLJ_UFF (meV),ROLJ_UFF (Ang), EOLJ_UFF_He (meV),ROLJ_UFF_He (Ang), EOLJ_UFF_N2 (meV),ROLJ_UFF_N2 (Ang),"[R,V,B]"
H,1,1.01,2.200,0.618,2.261,1.572,1.899,1.908,2.886,1.526,2.309,1.774,2.684,"[255,255,255]"
He,2,4,2.200,1.943,1.890,2.258,2.197,2.428,2.362,1.943,1.890,2.258,2.197,"[217,255,255]"
Li,3,6.94,2.200,0.867,1.961,1.008,2.279,1.084,2.451,0.867,1.961,1.008,2.279,"[204,128,255]"
Be,4,9.01,2.200,2.949,2.196,3.428,2.553,3.686,2.745,2.949,2.196,3.428,2.553,"[194,255,0]"
B,5,10.81,2.200,6.244,3.266,7.259,3.797,7.806,4.083,6.244,3.266,7.259,3.797,"[255,181,181]"
C,6,12.01,2.700,1.327,3.013,3.574,3.226,4.553,3.851,3.643,3.081,4.235,3.581,"[144,144,144]"
N,7,14.01,2.700,1.474,3.347,3.290,3.572,2.992,3.660,2.394,2.928,2.783,3.404,"[48,80,248]"
O,8,16,2.700,1.072,2.434,2.701,3.075,2.602,3.500,2.081,2.800,2.420,3.255,"[255,13,13]"
F,9,19,2.700,1.072,2.434,2.466,3.015,2.168,3.364,1.735,2.691,2.016,3.129,"[144,224,80]"
Ne,10,20.18,2.700,1.457,2.594,1.694,3.016,1.821,3.243,1.457,2.594,1.694,3.016,"[179,227,245]"
Na,11,22.99,2.853,0.028,3.537,1.981,2.944,1.301,2.983,1.041,2.386,1.210,2.774,"[171,92,242]"
Mg,12,24.31,2.900,3.851,2.417,4.476,2.810,4.813,3.021,3.851,2.417,4.476,2.810,"[138,255,0]"
Al,13,26.98,2.900,17.519,3.599,20.366,4.184,21.899,4.499,17.519,3.599,20.366,4.184,"[191,166,166]"
Si,14,28.09,2.950,1.350,3.500,7.250,3.532,17.432,4.295,13.946,3.436,16.212,3.994,"[240,200,160]"
P,15,30.97,4.200,1.350,3.500,6.315,3.471,13.226,4.147,10.581,3.318,12.300,3.857,"[255,128,0]"
S,16,32.07,3.500,1.350,3.500,5.985,3.424,11.882,4.035,9.505,3.228,11.050,3.753,"[255,255,48]"
Cl,17,35.45,3.500,7.875,3.158,9.155,3.671,9.844,3.947,7.875,3.158,9.155,3.671,"[31,240,31]"
K,19,39.1,3.500,1.214,3.050,1.412,3.545,1.518,3.812,1.214,3.050,1.412,3.545,"[143,64,212]"
Ar,18,39.95,3.500,6.418,3.094,7.461,3.597,8.022,3.868,6.418,3.094,7.461,3.597,"[128,209,227]"
Ca,20,40.08,3.500,8.257,2.719,9.598,3.161,10.321,3.399,8.257,2.719,9.598,3.161,"[61,255,0]"
Sc,21,44.96,3.500,0.659,2.636,0.766,3.064,0.824,3.295,0.659,2.636,0.766,3.064,"[230,230,230]"
Ti,22,47.87,3.500,0.590,2.540,0.686,2.953,0.737,3.175,0.590,2.540,0.686,2.953,"[191,194,199]"
V,23,50.94,3.500,0.555,2.515,0.645,2.924,0.694,3.144,0.555,2.515,0.645,2.924,"[166,166,171]"
Cr,24,52,3.500,0.520,2.418,0.605,2.811,0.650,3.023,0.520,2.418,0.605,2.811,"[138,153,199]"
Mn,25,54.94,3.500,0.451,2.369,0.524,2.754,0.564,2.961,0.451,2.369,0.524,2.754,"[156,122,199]"
Fe,26,55.85,3.500,1.350,3.500,1.304,2.909,0.564,2.912,0.451,2.330,0.524,2.708,"[224,102,51]"
Ni,28,58.69,2.267,0.520,2.267,0.605,2.636,0.650,2.834,0.520,2.267,0.605,2.636,"[80,208,80]"
Co,27,58.93,2.298,0.486,2.298,0.565,2.671,0.607,2.872,0.486,2.298,0.565,2.671,"[240,144,160]"
Cu,29,63.55,2.796,0.173,2.796,0.202,3.250,0.217,3.495,0.173,2.796,0.202,3.250,"[200,128,51]"
Zn,30,65.39,2.210,4.302,2.210,5.001,2.570,5.377,2.763,4.302,2.210,5.001,2.570,"[125,128,176]"
Ga,31,69.72,3.506,14.397,3.506,16.736,4.076,17.996,4.383,14.397,3.506,16.736,4.076,"[194,143,143]"
Ge,32,72.64,3.424,13.148,3.424,15.285,3.980,16.435,4.280,13.148,3.424,15.285,3.980,"[102,143,143]"
As,33,74.92,3.384,10.720,3.384,12.462,3.934,13.400,4.230,10.720,3.384,12.462,3.934,"[189,128,227]"
Se,34,78.96,3.364,10.095,3.364,11.736,3.911,12.619,4.205,10.095,3.364,11.736,3.911,"[255,161,0]"
Br,35,79.9,3.351,8.708,3.351,10.122,3.896,10.884,4.189,8.708,3.351,10.122,3.896,"[166,41,41]"
Kr,36,83.8,3.313,7.632,3.313,8.872,3.851,9.540,4.141,7.632,3.313,8.872,3.851,"[92,184,209]"
Rb,37,85.47,3.291,1.388,3.291,1.613,3.826,1.735,4.114,1.388,3.291,1.613,3.826,"[112,46,176]"
Sr,38,87.62,2.913,8.152,2.913,9.477,3.386,10.191,3.641,8.152,2.913,9.477,3.386,"[0,255,0]"
Y,39,88.91,2.676,2.498,2.676,2.904,3.111,3.122,3.345,2.498,2.676,2.904,3.111,"[148,255,255]"
Zr,40,91.22,2.499,2.394,2.499,2.783,2.905,2.992,3.124,2.394,2.499,2.783,2.905,"[148,224,224]"
Nb,41,92.91,2.532,2.047,2.532,2.379,2.943,2.558,3.165,2.047,2.532,2.379,2.943,"[115,194,201]"
Mo,42,95.94,2.442,1.943,2.442,2.258,2.838,2.428,3.052,1.943,2.442,2.258,2.838,"[84,181,181]"
Tc,43,98,2.398,1.665,2.398,1.936,2.788,2.081,2.998,1.665,2.398,1.936,2.788,"[59,158,158]"
Ru,44,101.07,2.370,1.943,2.370,2.258,2.756,2.428,2.963,1.943,2.370,2.258,2.756,"[36,143,143]"
Rh,45,102.91,2.343,1.839,2.343,2.137,2.724,2.298,2.929,1.839,2.343,2.137,2.724,"[10,125,140]"
Pd,46,106.42,2.319,1.665,2.319,1.936,2.696,2.081,2.899,1.665,2.319,1.936,2.696,"[0,105,133]"
Ag,47,107.87,2.518,1.249,2.518,1.452,2.928,1.561,3.148,1.249,2.518,1.452,2.928,"[192,192,192]"
Cd,48,112.41,2.278,7.910,2.278,9.195,2.649,9.887,2.848,7.910,2.278,9.195,2.649,"[255,217,143]"
In,49,114.82,3.570,20.780,3.570,24.157,4.151,25.975,4.463,20.780,3.570,24.157,4.151,"[166,117,115]"
Sn,50,118.71,3.514,19.670,3.514,22.866,4.085,24.587,4.392,19.670,3.514,22.866,4.085,"[102,128,128]"
Sb,51,121.76,3.536,15.576,3.536,18.108,4.111,19.470,4.420,15.576,3.536,18.108,4.111,"[158,99,181]"
I,53,126.9,3.600,13.807,3.600,16.051,4.185,17.259,4.500,13.807,3.600,16.051,4.185,"[148,0,148]"
Te,52,127.6,3.576,11.760,3.576,13.671,4.157,14.700,4.470,11.760,3.576,13.671,4.157,"[212,122,0]"
Xe,54,131.29,3.523,11.518,3.523,13.389,4.096,14.397,4.404,11.518,3.523,13.389,4.096,"[66,158,176]"
Cs,55,132.91,3.614,1.561,3.614,1.815,4.201,1.951,4.517,1.561,3.614,1.815,4.201,"[87,23,143]"
Ba,56,137.33,2.962,12.628,2.962,14.680,3.444,15.785,3.703,12.628,2.962,14.680,3.444,"[0,201,0]"
La,57,138.91,2.818,0.590,2.818,0.686,3.275,0.737,3.522,0.590,2.818,0.686,3.275,"[112,212,255]"
Ce,58,140.12,2.845,0.451,2.845,0.524,3.307,0.564,3.556,0.451,2.845,0.524,3.307,"[255,255,199]"
Pr,59,140.91,2.885,0.347,2.885,0.403,3.354,0.434,3.606,0.347,2.885,0.403,3.354,"[217,255,199]"
Nd,60,144.24,2.860,0.347,2.860,0.403,3.325,0.434,3.575,0.347,2.860,0.403,3.325,"[199,255,199]"
Pm,61,145,2.838,0.312,2.838,0.363,3.299,0.390,3.547,0.312,2.838,0.363,3.299,"[163,255,199]"
Sm,62,150.36,2.816,0.278,2.816,0.323,3.274,0.347,3.520,0.278,2.816,0.323,3.274,"[143,255,199]"
Eu,63,151.96,2.794,0.278,2.794,0.323,3.248,0.347,3.493,0.278,2.794,0.323,3.248,"[97,255,199]"
Gd,64,157.25,2.694,0.312,2.694,0.363,3.132,0.390,3.368,0.312,2.694,0.363,3.132,"[69,255,199]"
Tb,65,158.93,2.761,0.243,2.761,0.282,3.209,0.304,3.451,0.243,2.761,0.282,3.209,"[48,255,199]"
Dy,66,162.5,2.742,0.243,2.742,0.282,3.188,0.304,3.428,0.243,2.742,0.282,3.188,"[31,255,199]"
Ho,67,164.93,2.727,0.243,2.727,0.282,3.170,0.304,3.409,0.243,2.727,0.282,3.170,"[0,255,156]"
Er,68,167.26,2.713,0.243,2.713,0.282,3.154,0.304,3.391,0.243,2.713,0.282,3.154,"[0,230,117]"
Tm,69,168.93,2.699,0.208,2.699,0.242,3.138,0.260,3.374,0.208,2.699,0.242,3.138,"[0,212,82]"
Yb,70,173.04,2.684,7.910,2.684,9.195,3.120,9.887,3.355,7.910,2.684,9.195,3.120,"[0,191,56]"
Lu,71,174.97,2.912,1.422,2.912,1.653,3.385,1.778,3.640,1.422,2.912,1.653,3.385,"[0,171,36]"
Hf,72,178.49,2.513,2.498,2.513,2.904,2.921,3.122,3.141,2.498,2.513,2.904,2.921,"[77,194,255]"
Ta,73,180.95,2.536,2.810,2.536,3.267,2.948,3.512,3.170,2.810,2.536,3.267,2.948,"[77,166,255]"
W,74,183.84,2.455,2.324,2.455,2.702,2.854,2.905,3.069,2.324,2.455,2.702,2.854,"[33,148,214]"
Re,75,186.21,2.363,2.290,2.363,2.662,2.747,2.862,2.954,2.290,2.363,2.662,2.747,"[38,125,171]"
Os,76,190.23,2.496,1.284,2.496,1.492,2.902,1.604,3.120,1.284,2.496,1.492,2.902,"[38,102,150]"
Ir,77,192.22,2.272,2.532,2.272,2.944,2.641,3.166,2.840,2.532,2.272,2.944,2.641,"[23,84,135]"
Pt,78,195.08,2.203,2.775,2.203,3.226,2.561,3.469,2.754,2.775,2.203,3.226,2.561,"[208,208,224]"
Au,79,196.97,2.634,1.353,2.634,1.573,3.062,1.691,3.293,1.353,2.634,1.573,3.062,"[255,209,35]"
Hg,80,200.59,2.164,13.356,2.164,15.527,2.516,16.695,2.705,13.356,2.164,15.527,2.516,"[184,184,208]"
Tl,81,204.38,3.478,23.590,3.478,27.423,4.043,29.488,4.347,23.590,3.478,27.423,4.043,"[166,84,77]"
Pb,82,207.2,3.438,23.000,3.438,26.738,3.996,28.750,4.297,23.000,3.438,26.738,3.996,"[87,89,97]"
Bi,83,208.98,3.496,17.970,3.496,20.890,4.064,22.463,4.370,17.970,3.496,20.890,4.064,"[158,79,181]"
Po,84,209,3.767,11.275,3.767,13.107,4.379,14.093,4.709,11.275,3.767,13.107,4.379,"[171,92,0]"
At,85,210,3.800,9.852,3.800,11.453,4.418,12.315,4.750,9.852,3.800,11.453,4.418,"[117,79,69]"
Rn,86,222,3.812,8.603,3.812,10.001,4.431,10.754,4.765,8.603,3.812,10.001,4.431,"[66,130,150]"
Fr,87,223,3.920,1.735,3.920,2.016,4.557,2.168,4.900,1.735,3.920,2.016,4.557,"[66,0,102]"
Ra,88,226,2.942,14.015,2.942,16.293,3.420,17.519,3.677,14.015,2.942,16.293,3.420,"[0,125,0]"
Ac,89,227,2.782,1.145,2.782,1.331,3.235,1.431,3.478,1.145,2.782,1.331,3.235,"[112,171,250]"
Pa,91,231.04,2.739,0.902,2.739,1.049,3.184,1.127,3.424,0.902,2.739,1.049,3.184,"[0,161,255]"
Th,90,232.04,2.717,0.763,2.717,0.887,3.158,0.954,3.396,0.763,2.717,0.887,3.158,"[0,186,255]"
Np,93,237,2.739,0.659,2.739,0.766,3.184,0.824,3.424,0.659,2.739,0.766,3.184,"[0,128,255]"
U,92,238.03,2.716,0.763,2.716,0.887,3.157,0.954,3.395,0.763,2.716,0.887,3.157,"[0,143,255]"
Am,95,243,2.705,0.486,2.705,0.565,3.144,0.607,3.381,0.486,2.705,0.565,3.144,"[84,92,242]"
Pu,94,244,2.739,0.555,2.739,0.645,3.184,0.694,3.424,0.555,2.739,0.645,3.184,"[0,107,255]"
Cm,96,247,2.661,0.451,2.661,0.524,3.093,0.564,3.326,0.451,2.661,0.524,3.093,"[120,92,227]"
Bk,97,247,2.671,0.451,2.671,0.524,3.105,0.564,3.339,0.451,2.671,0.524,3.105,"[138,79,227]"
Cf,98,251,2.650,0.451,2.650,0.524,3.081,0.564,3.313,0.451,2.650,0.524,3.081,"[161,54,212]"
Es,99,252,2.639,0.416,2.639,0.484,3.068,0.520,3.299,0.416,2.639,0.484,3.068,"[179,31,212]"
Fm,100,257,2.629,0.416,2.629,0.484,3.056,0.520,3.286,0.416,2.629,0.484,3.056,"[179,31,186]"
Md,101,258,2.619,0.382,2.619,0.444,3.045,0.477,3.274,0.382,2.619,0.444,3.045,"[179,13,166]"
No,102,259,2.598,0.382,2.598,0.444,3.021,0.477,3.248,0.382,2.598,0.444,3.021,"[189,13,135]"
Lr,103,262,2.589,0.382,2.589,0.444,3.009,0.477,3.236,0.382,2.589,0.444,3.009,"[199,0,102]"
